Percentage, Train, Learning, Momentum, Batch, Hidden, Centered, Normalized
0.8583815028901746, 0.6548819691818641, 9e-06, 0.5848506591284077, 83, 196, 0, 0
0.8384615384615397, 0.559800105958572, 1e-05, 0.8033037259187366, 123, 56, 0, 0
0.9257641921397397, 0.5436304241785288, 0.02, 0.6571292097041131, 157, 202, 0, 1
0.8937172774869125, 0.6189380552404308, 0.0008, 0.6373331998857263, 208, 96, 0, 1
0.10350877192982455, 0.8114048431976978, 5e-08, 0.7835580989038033, 159, 312, 1, 1
0.8887218045112789, 0.7340771559636453, 4e-05, 0.8945683103326123, 185, 309, 0, 0
0.09999999999999998, 0.5262775749643704, 6e-07, 0.5537201678095389, 162, 153, 1, 1
0.9360000000000004, 0.8011842362177539, 0.6000000000000001, 0.37917945924740043, 108, 114, 1, 1
0.8742307692307697, 0.7404656454855014, 3.0000000000000004e-05, 0.34912050278928075, 196, 295, 0, 0
0.49492385786802023, 0.6061793352873064, 6e-07, 0.6019373858454309, 204, 126, 1, 0
0.817721518987342, 0.6844685754237356, 2e-07, 0.8563331421333402, 40, 275, 0, 0
0.8875886524822705, 0.6248994090576429, 0.0005, 0.6430931286737867, 192, 284, 0, 1
0.09383886255924165, 0.579263450315805, 9e-08, 0.622948270169206, 155, 164, 0, 1
0.08903508771929824, 0.5457418957707807, 0.06, 0.6916062204458419, 211, 328, 0, 0
0.10966183574879214, 0.7702222655149926, 5e-08, 0.5345082808020415, 124, 226, 0, 1
0.9039447731755433, 0.6634961647571114, 0.0005, 0.48563780968211356, 58, 178, 0, 0
0.8725146198830422, 0.6599643783466984, 5e-05, 0.4551597186786136, 208, 214, 0, 0
0.8020648967551623, 0.7748106080817703, 3e-06, 0.7113949378535842, 189, 86, 1, 0
0.0924242424242424, 0.825456338194994, 6e-10, 0.697230767234603, 173, 71, 0, 1
0.09523809523809514, 0.7074338947607985, 0.6000000000000001, 0.30579547959568576, 100, 180, 1, 0
0.9216101694915275, 0.5281150496146583, 0.0004, 0.8956041793048153, 157, 269, 0, 0
